Target,Model,MAE,RMSE,R2,Median_AE,Error_5mm,Error_10mm,Max_Error,Outliers_20mm,Std_Error,Best_Single_Model,Improvement_vs_Standard,Improvement_vs_Adaptive,Improvement_vs_Best,Data_Sources,Features_Count,Improvement_vs_Optimized
kidney_left_delta_x,Optimized_Voting_Ensemble_Integrated,3.476640034408764,5.217574461967587,0.04434211232092944,2.266408114107996,72.58064516129032,93.54838709677419,20.3843090442605,1,5.084588699238009,RandomForest,-0.8814122493542712,-1.49909596831638,-11.809310701711784,DICOMS+Vybor+KiTS19,51,
kidney_left_delta_x,Adaptive_Voting_Ensemble_Integrated,3.425291625744155,5.015861842502878,0.11680567746276183,2.612385316678176,72.58064516129032,91.93548387096774,17.693907800344178,0,4.861952348409734,RandomForest,0.6085608084183556,,-10.157937501841205,DICOMS+Vybor+KiTS19,51,1.476954995524623
kidney_left_delta_x,Standard_Voting_Ensemble_Integrated,3.446264239258821,5.004472915963533,0.12081185470440603,2.6814546918881152,70.96774193548387,93.54838709677419,18.036589130968373,0,4.852773922440231,RandomForest,0.0,,-10.832420174041983,DICOMS+Vybor+KiTS19,51,0.8737112513607908
kidney_left_delta_y,Optimized_Voting_Ensemble_Integrated,1.7961895710686842,2.936134660692422,0.15203361868135346,0.9518459496801279,90.32258064516128,98.38709677419355,10.233612878504768,0,2.925895918717857,RandomForest,4.681935536579353,5.808043762379193,-18.151353791244365,DICOMS+Vybor+KiTS19,51,
kidney_left_delta_y,Adaptive_Voting_Ensemble_Integrated,1.9069458187463313,3.2995748550333546,-0.0708845807997378,0.9565514226441931,90.32258064516128,96.7741935483871,14.0617103445718,0,3.298601163756829,RandomForest,-1.195546064420803,,-25.436776674624404,DICOMS+Vybor+KiTS19,51,-6.166178083961937
kidney_left_delta_y,Standard_Voting_Ensemble_Integrated,1.8844167484726797,3.3265377239570513,-0.0884578113012302,0.9095034046027894,90.32258064516128,96.7741935483871,14.765661527284287,0,3.3258342272033667,RandomForest,0.0,,-23.954839469685457,DICOMS+Vybor+KiTS19,51,-4.911907897978873
kidney_left_delta_z,Optimized_Voting_Ensemble_Integrated,1.8000897055868028,2.697940130786265,-0.02553965068265085,1.60450794719892,93.54838709677419,98.38709677419355,12.157155040806277,0,2.694892162037904,Lasso,2.4944729334739835,0.6997801728217343,-7.515690133845973,DICOMS+Vybor+KiTS19,51,
kidney_left_delta_z,Adaptive_Voting_Ensemble_Integrated,1.8127751466408355,2.740457077671819,-0.05811738182721138,1.4305825702659067,91.93548387096774,98.38709677419355,12.071333989517582,0,2.738217663896258,Lasso,1.8073401688090178,,-8.273365679316603,DICOMS+Vybor+KiTS19,51,-0.7047116049084576
kidney_left_delta_z,Standard_Voting_Ensemble_Integrated,1.8461411980867901,2.7521596035419975,-0.06717359718185878,1.3902522165021551,91.93548387096774,98.38709677419355,11.836868882438672,0,2.7509485204412387,Lasso,0.0,,-10.266251943328534,DICOMS+Vybor+KiTS19,51,-2.5582887540026897
kidney_right_delta_x,Optimized_Voting_Ensemble_Integrated,2.8364571064734254,4.962747183528119,0.2128840396926882,1.472656418786597,82.25806451612904,95.16129032258065,23.192500358723027,1,4.812330993112912,Ridge,-0.8412034319062558,1.6470501729596843,6.67968483318936,DICOMS+Vybor+KiTS19,51,
kidney_right_delta_x,Adaptive_Voting_Ensemble_Integrated,2.883957330676415,4.704386833061621,0.2927051969271902,1.5596641330785264,80.64516129032258,93.54838709677419,19.346606072755865,0,4.486360568778803,Ridge,-2.5299227010899887,,5.116912781039992,DICOMS+Vybor+KiTS19,51,-1.674632205598432
kidney_right_delta_x,Standard_Voting_Ensemble_Integrated,2.8127957719076244,4.630366312219755,0.31478775543817106,1.5305136801406873,79.03225806451613,95.16129032258065,19.66518081544932,0,4.487111402362096,Ridge,0.0,,7.458150050910637,DICOMS+Vybor+KiTS19,51,0.8341862287217591
kidney_right_delta_y,Optimized_Voting_Ensemble_Integrated,1.4994841629896742,2.279340089523002,0.15463011401617377,1.1684883686638385,96.7741935483871,100.0,9.034311202812507,0,2.2790478148260704,RandomForest,3.680454376965759,2.8023755720862997,1.3954530543984165,DICOMS+Vybor+KiTS19,51,
kidney_right_delta_y,Adaptive_Voting_Ensemble_Integrated,1.5427168840960324,2.5448941826869356,-0.05382372830603788,0.951082203833125,95.16129032258065,98.38709677419355,10.771229377273848,0,2.5404478528578083,RandomForest,0.9033953350687944,,-1.4474865265162138,DICOMS+Vybor+KiTS19,51,-2.8831729052850177
kidney_right_delta_y,Standard_Voting_Ensemble_Integrated,1.5567807689398834,2.607255883579178,-0.10610365515411413,0.9507466004513163,95.16129032258065,98.38709677419355,11.721606715365233,0,2.600938836735533,RandomForest,0.0,,-2.3723132286256323,DICOMS+Vybor+KiTS19,51,-3.8210877690079137
kidney_right_delta_z,Optimized_Voting_Ensemble_Integrated,1.4325561208709532,1.9705775097119724,0.2947255086440308,1.2397743718581546,100.0,100.0,4.9982260486800225,0,1.9622134077634115,GradientBoosting,10.33816067935937,6.9568912586551654,13.982501296555045,DICOMS+Vybor+KiTS19,51,
kidney_right_delta_z,Adaptive_Voting_Ensemble_Integrated,1.5396692353147692,2.109073457157884,0.19210569844694458,1.3593464747846133,98.38709677419355,100.0,5.368708143380609,0,2.1062164814878237,GradientBoosting,3.6340890437183955,,7.550919281330897,DICOMS+Vybor+KiTS19,51,-7.477062356111695
kidney_right_delta_z,Standard_Voting_Ensemble_Integrated,1.5977322478830425,2.2392079367108297,0.0893321969064198,1.3469716942339112,98.38709677419355,100.0,8.070781143298156,0,2.238547651988596,GradientBoosting,0.0,,4.0645392117856405,DICOMS+Vybor+KiTS19,51,-11.530167970778479
