feature,importance
body_com_y_mm,0.27942449138680375
body_com_x_mm,0.2462348598332773
body_com_z_mm,0.17432779672244222
spine_center_z_mm,0.16897754069451568
body_width_mm,0.01692171472508783
body_width_mm_median,0.014556118904716685
body_area_mm2_median,0.011521854232112461
body_area_mm2,0.011265807960991291
slice_count_used,0.010454708252943694
age,0.009800900283866635
body_depth_mm,0.009255456092343123
fat_ratio,0.008972032196817895
bone_volume_cm3,0.008344040146413597
body_depth_mm_median,0.008082794347472978
slice_thickness_mm,0.007845239439820137
body_volume_cm3,0.0070477459381815865
fat_volume_cm3,0.006917125054948
bmi,4.977378724513279e-05
hospitalization_days,0.0
