feature,importance
radiographic_size,0.10177800166085288
body_depth_mm,0.09773033118274016
body_width_mm,0.09458619896765647
spine_center_z,0.07867717895021378
body_com_z,0.07792815346162857
body_com_x,0.074322170397981
spine_center_x,0.0735501041440808
pathologic_size,0.0732271066260491
spine_center_y,0.06967167352282337
body_com_y,0.06953429694606879
body_area_mm2,0.05603037098649408
age,0.03526492141458872
bmi,0.02826192859432803
slice_thickness,0.014172337131402195
tumor_grade,0.009340927207404622
smoking_code,0.008001770312443729
tumor_histology_code,0.006950268007839243
malignant,0.0030741711842607
weight_kg,1.2132197390528261e-05
right_delta_angle_B,9.518607381159859e-06
left_supine_angle_A,5.588352675940397e-06
left_lateral_angle_B,4.997973694122156e-06
left_lateral_middle_x,4.816090675573873e-06
abd_wall_thickness_mm,4.67111290756907e-06
left_lateral_lower_z,3.906507779473588e-06
left_supine_middle_z,3.6493833798116677e-06
abd_depth_l3l4_mm,3.460191657333699e-06
row_no,3.3799531168162636e-06
right_delta_upper_y,3.2000881545459094e-06
right_lateral_lower_x,3.0150214592003855e-06
right_delta_angle_A,2.9967797580020302e-06
left_supine_lower_x,2.48324059483143e-06
right_lateral_angle_A,2.3979301489745394e-06
right_delta_middle_z,2.3161574642190434e-06
right_lateral_angle_B,2.0459972983053466e-06
left_delta_lower_y,1.9796615130209894e-06
right_delta_middle_y,1.929595271850444e-06
left_supine_upper_y,1.9206457330334236e-06
right_delta_angle_C,1.9040510735118982e-06
left_supine_lower_z,1.8950893085751284e-06
right_lateral_angle_C,1.8725987285481088e-06
right_supine_angle_A,1.812876179913604e-06
left_lateral_middle_z,1.7853327894812116e-06
right_lateral_lower_z,1.6450303135286363e-06
right_delta_middle_x,1.6434697585320752e-06
left_supine_upper_x,1.641259520242589e-06
left_lateral_lower_y,1.5074857927649456e-06
left_supine_middle_y,1.4010100535432803e-06
left_delta_angle_B,1.3291123306041648e-06
left_supine_lower_y,1.320659532815929e-06
left_lateral_middle_y,1.2994682208148583e-06
right_supine_middle_z,1.2228472026724672e-06
right_supine_upper_x,1.2141471539133338e-06
left_lateral_angle_C,1.179509119472182e-06
right_supine_upper_z,1.120991601905808e-06
right_delta_lower_y,1.0801532001404153e-06
left_delta_middle_z,1.0022703581221732e-06
right_delta_upper_x,9.466177381145754e-07
right_supine_lower_z,9.441612652947167e-07
left_delta_middle_x,8.9731465829352e-07
left_lateral_upper_y,8.907286171449184e-07
right_supine_lower_x,7.92565731044048e-07
left_delta_upper_x,6.843148236245279e-07
left_delta_lower_x,6.696935226878496e-07
right_supine_upper_y,6.573606591701789e-07
left_lateral_upper_z,6.051090365528543e-07
left_supine_upper_z,5.658438845680665e-07
right_supine_angle_B,5.35615363218972e-07
left_supine_angle_B,5.310372687749956e-07
right_lateral_upper_x,4.636734057499837e-07
right_supine_angle_C,4.010272277516697e-07
left_delta_upper_z,3.398663163049977e-07
right_delta_lower_x,3.320943463565014e-07
left_delta_middle_y,2.57329982625876e-07
left_delta_upper_y,2.3379959639728128e-07
right_delta_lower_z,2.1824997736681382e-07
right_lateral_lower_y,1.9549858074495953e-07
right_delta_upper_z,1.7234195704423267e-07
left_delta_angle_A,1.6524274912083982e-07
left_supine_middle_x,1.1753919440237095e-07
left_lateral_angle_A,1.1218392707506337e-07
abd_width_l3l4_mm,8.997708096073697e-08
right_supine_middle_x,7.469266673824007e-08
left_supine_angle_C,5.8490860003525165e-08
right_supine_middle_y,3.439203233175703e-08
right_lateral_upper_y,3.215424308162419e-08
left_lateral_upper_x,8.523970654776368e-09
right_lateral_middle_z,1.189249269063914e-09
right_lateral_middle_y,4.313932320543081e-11
left_delta_lower_z,2.0685263316251908e-16
right_supine_lower_y,1.3691042527739716e-16
left_delta_angle_C,1.190317222244068e-16
right_lateral_upper_z,1.185841504846216e-16
left_lateral_lower_x,1.0864268112875814e-16
right_lateral_middle_x,8.70210861859948e-17
previous_surgery,1.2299468377220563e-17
