feature,importance
body_width_mm,0.12217014222151888
body_area_mm2,0.10384273108307393
radiographic_size,0.08403776557442659
body_depth_mm,0.08186627543839245
spine_center_z,0.06391104387358319
spine_center_y,0.06351407342848091
body_com_y,0.059408573698454606
pathologic_size,0.05574419546909916
spine_center_x,0.05573573548879095
body_com_z,0.05102225310726301
body_com_x,0.04984899079766395
bmi,0.03653373015901834
age,0.030726213354877012
source_id,0.029214614789951413
hospitalization_days,0.02063366544385968
slice_thickness,0.015283819836390152
tumor_grade,0.012563364162259553
smoking_code,0.006112841585052692
tumor_histology_code,0.004588811934804732
malignant,0.001308690831667973
sex,0.0006504164393195245
dicoms_slice_count_used,0.0
dicoms_slice_thickness_mm,0.0
dicoms_body_volume_cm3,0.0
dicoms_fat_volume_cm3,0.0
dicoms_bone_volume_cm3,0.0
dicoms_fat_ratio,0.0
dicoms_body_width_mm_median,0.0
dicoms_body_depth_mm_median,0.0
dicoms_body_area_mm2_median,0.0
dicoms_body_com_x_mm,0.0
dicoms_body_com_y_mm,0.0
dicoms_body_com_z_mm,0.0
dicoms_spine_center_z_mm,0.0
