Target,Model,MAE,RMSE,R2,Median_AE,Error_5mm,Error_10mm,Max_Error,Outliers_20mm,Std_Error,Best_Single_Model,Improvement_vs_Standard,Improvement_vs_Best,Data_Sources
kidney_left_delta_x,Adaptive_Voting_Ensemble_Integrated,3.390804000256639,4.863529325490893,0.1696365686327378,2.380445032610152,74.19354838709677,91.93548387096774,14.138211359504467,0,4.646427134156738,RandomForest,-0.9486991031183947,-16.85804989590221,DICOMS+Vybor+KiTS19
kidney_left_delta_x,Standard_Voting_Ensemble_Integrated,3.358937787591454,4.776301807030476,0.19915464694979979,2.3031820486125714,75.80645161290323,91.93548387096774,13.681668934893167,0,4.557185160672122,RandomForest,0.0,-15.759837357123862,DICOMS+Vybor+KiTS19
kidney_left_delta_y,Adaptive_Voting_Ensemble_Integrated,1.781269606909478,2.9391695871564334,0.15027971706442023,0.9609185256939217,88.70967741935483,98.38709677419355,10.53536944304939,0,2.904966893834726,RandomForest,-0.10892975383221817,-21.817244083497116,DICOMS+Vybor+KiTS19
kidney_left_delta_y,Standard_Voting_Ensemble_Integrated,1.7793313856112722,2.927191657062558,0.15719129598938886,0.9856503533625385,88.70967741935483,98.38709677419355,10.467983476732538,0,2.8929605343112645,RandomForest,0.0,-21.684693246692007,DICOMS+Vybor+KiTS19
kidney_left_delta_z,Adaptive_Voting_Ensemble_Integrated,1.798755678673053,2.631166404308725,0.02459613857668863,1.5707257362171854,93.54838709677419,98.38709677419355,11.388887055518888,0,2.622791666082363,Lasso,1.1175383304864097,-8.847100287553143,DICOMS+Vybor+KiTS19
kidney_left_delta_z,Standard_Voting_Ensemble_Integrated,1.8190846468657713,2.619894623524893,0.03293539714016558,1.5651564180376045,93.54838709677419,98.38709677419355,10.915172845106014,0,2.6115739314855038,Lasso,0.0,-10.077255814426945,DICOMS+Vybor+KiTS19
kidney_right_delta_x,Adaptive_Voting_Ensemble_Integrated,3.078904682705477,5.012324209096383,0.1970791708787134,1.6546821736664077,82.25806451612904,93.54838709677419,23.306021144153235,1,4.826992204324014,Ridge,-4.633606005128301,-6.45309340622844,DICOMS+Vybor+KiTS19
kidney_right_delta_x,Standard_Voting_Ensemble_Integrated,2.942558132379165,5.000467293234632,0.2008733805480536,1.5544873352139645,82.25806451612904,93.54838709677419,23.56595158064801,1,4.803602588530476,Ridge,0.0,-1.7389130228494296,DICOMS+Vybor+KiTS19
kidney_right_delta_y,Adaptive_Voting_Ensemble_Integrated,1.412754093863379,2.1320382746039277,0.26036320337805274,0.968680480416813,95.16129032258065,100.0,8.068648827368685,0,2.129632790478924,RandomForest,-0.08552910210491775,-1.419406520414644,DICOMS+Vybor+KiTS19
kidney_right_delta_y,Standard_Voting_Ensemble_Integrated,1.4115468105505244,2.118026128203591,0.270053313052002,0.9438293968144302,95.16129032258065,100.0,7.8081912715409025,0,2.1163383147502084,RandomForest,0.0,-1.33273753985847,DICOMS+Vybor+KiTS19
kidney_right_delta_z,Adaptive_Voting_Ensemble_Integrated,1.476270182185259,2.0213167574829796,0.2579385243680943,1.3129013424973417,98.38709677419355,100.0,5.292208347913487,0,2.0158776425738996,GradientBoosting,1.1376038110775366,5.831459352899058,DICOMS+Vybor+KiTS19
kidney_right_delta_z,Standard_Voting_Ensemble_Integrated,1.4932575368334793,2.019829963815323,0.25902977988924525,1.279431745703688,98.38709677419355,100.0,5.090972936115293,0,2.0144290581795246,GradientBoosting,0.0,4.747867463025813,DICOMS+Vybor+KiTS19
