Target,Model,MAE,RMSE,R2,Median_AE,Error_5mm,Error_10mm,Max_Error,Outliers_20mm,Std_Error,Improvement
kidney_left_delta_x,Dynamic_Adaptive_Ensemble,3.864671451774601,4.499449660767886,0.11862785886236316,4.0974232401906665,71.15384615384616,100.0,8.506784591117214,0,4.490640453905725,3.447298550924502e-14
kidney_left_delta_x,Standard_Adaptive_Ensemble,3.864671451774602,4.499449660767887,0.11862785886236304,4.0974232401906665,71.15384615384616,100.0,8.506784591117217,0,4.490640453905725,0.0
kidney_left_delta_y,Dynamic_Adaptive_Ensemble,1.8031362783914917,2.360926299139272,0.289431134101519,1.3543102205697897,92.3076923076923,100.0,6.086950194419385,0,2.3538855726462877,0.0
kidney_left_delta_y,Standard_Adaptive_Ensemble,1.8031362783914917,2.360926299139272,0.2894311341015192,1.3543102205697894,92.3076923076923,100.0,6.086950194419386,0,2.3538855726462877,0.0
kidney_left_delta_z,Dynamic_Adaptive_Ensemble,2.3374544045876275,2.955387256781929,-0.07649723154271704,2.1891278332806325,88.46153846153845,100.0,7.44432633290275,0,2.7762746639898572,0.0
kidney_left_delta_z,Standard_Adaptive_Ensemble,2.3374544045876275,2.955387256781929,-0.07649723154271704,2.1891278332806325,88.46153846153845,100.0,7.44432633290275,0,2.7762746639898572,0.0
kidney_right_delta_x,Dynamic_Adaptive_Ensemble,3.4465794145195927,4.168472493923231,0.2489148962711415,2.867356642101525,75.0,100.0,9.45768250601098,0,4.168423528945142,0.0
kidney_right_delta_x,Standard_Adaptive_Ensemble,3.4465794145195927,4.168472493923231,0.2489148962711415,2.867356642101525,75.0,100.0,9.45768250601098,0,4.168423528945141,0.0
kidney_right_delta_y,Dynamic_Adaptive_Ensemble,1.5338095078549991,1.9215080428129534,0.2866644018946195,1.07918250047689,98.07692307692307,100.0,5.058476396003668,0,1.8528468047894304,0.0
kidney_right_delta_y,Standard_Adaptive_Ensemble,1.5338095078549991,1.9215080428129532,0.2866644018946196,1.07918250047689,98.07692307692307,100.0,5.058476396003668,0,1.8528468047894302,0.0
kidney_right_delta_z,Dynamic_Adaptive_Ensemble,1.9921462565785766,2.359801331018452,0.36986764880357315,2.0777833823130796,100.0,100.0,4.499461094487847,0,2.359452707766412,-1.1145999155021036e-14
kidney_right_delta_z,Standard_Adaptive_Ensemble,1.9921462565785764,2.3598013310184522,0.36986764880357303,2.0777833823130796,100.0,100.0,4.499461094487849,0,2.359452707766412,0.0
