Model,Target,MAE,RMSE,R2,Error_5mm,Error_10mm,Metric_Type
MultiTask_RandomForest,Overall,2.8929106221655325,3.740098827684142,0.1911724990296603,85.57692307692308,98.07692307692308,Overall
MultiTask_RandomForest,Left_Vector,4.326582491335346,,0.5393553593822338,,,Vector
MultiTask_RandomForest,Right_Vector,2.7937102735278225,,0.33965759227702613,,,Vector
MultiTask_RandomForest,kidney_left_delta_x,4.1743774432584795,5.092292551035141,0.23752702063455744,69.23076923076923,94.23076923076923,Per_Target
MultiTask_RandomForest,kidney_left_delta_y,2.3810054609930162,3.2101368990253483,0.17123156386396698,92.3076923076923,98.07692307692307,Per_Target
MultiTask_RandomForest,kidney_left_delta_z,2.541926707295017,3.168517905745811,0.01976692139032865,88.46153846153845,100.0,Per_Target
MultiTask_RandomForest,kidney_right_delta_x,4.276458154981446,5.714756006374861,0.2624760027593418,73.07692307692307,96.15384615384616,Per_Target
MultiTask_RandomForest,kidney_right_delta_y,2.063415969900441,2.7592066659429966,0.19011664584778876,94.23076923076923,100.0,Per_Target
MultiTask_RandomForest,kidney_right_delta_z,1.920279996564799,2.4956829379806953,0.2659168396819783,96.15384615384616,100.0,Per_Target
MultiTask_GradientBoosting,Overall,2.8989951196514827,3.7177633368660516,0.20189266179342943,83.01282051282051,98.07692307692308,Overall
MultiTask_GradientBoosting,Left_Vector,4.349911967366626,,0.5499167795064724,,,Vector
MultiTask_GradientBoosting,Right_Vector,2.699000236484907,,0.4845514759396959,,,Vector
MultiTask_GradientBoosting,kidney_left_delta_x,4.253777626101471,5.2275309565041645,0.19649054285650314,55.769230769230774,94.23076923076923,Per_Target
MultiTask_GradientBoosting,kidney_left_delta_y,2.299007840175537,3.090269659317449,0.2319688208782631,92.3076923076923,98.07692307692307,Per_Target
MultiTask_GradientBoosting,kidney_left_delta_z,2.71819239955307,3.3574889892211863,-0.10064234320959642,92.3076923076923,100.0,Per_Target
MultiTask_GradientBoosting,kidney_right_delta_x,4.262160294030614,5.632767524411049,0.2834864214811331,65.38461538461539,96.15384615384616,Per_Target
MultiTask_GradientBoosting,kidney_right_delta_y,2.069722485143871,2.7420547309200476,0.20015423500280105,94.23076923076923,100.0,Per_Target
MultiTask_GradientBoosting,kidney_right_delta_z,1.7911100729043348,2.256468160822416,0.39989829375147246,98.07692307692307,100.0,Per_Target
MultiTask_Lasso,Overall,2.6700395237007175,3.467853586846587,0.28871687413598607,85.25641025641026,98.71794871794872,Overall
MultiTask_Lasso,Left_Vector,3.9604669075134877,,0.6683731304957031,,,Vector
MultiTask_Lasso,Right_Vector,2.5781477196968154,,0.5058918860364321,,,Vector
MultiTask_Lasso,kidney_left_delta_x,3.8148699499238328,4.51250104332423,0.40126810129610924,71.15384615384616,98.07692307692307,Per_Target
MultiTask_Lasso,kidney_left_delta_y,2.3318247115680144,3.0764779927753745,0.23880886684759328,94.23076923076923,98.07692307692307,Per_Target
MultiTask_Lasso,kidney_left_delta_z,2.408055025145422,3.018267689148539,0.1105274872571167,90.38461538461539,100.0,Per_Target
MultiTask_Lasso,kidney_right_delta_x,3.6179051676483454,5.179588671036073,0.39414134717136506,71.15384615384616,96.15384615384616,Per_Target
MultiTask_Lasso,kidney_right_delta_y,1.910699722263149,2.518049325758605,0.3254991860519594,94.23076923076923,100.0,Per_Target
MultiTask_Lasso,kidney_right_delta_z,1.9368825656555397,2.5022367990367065,0.26205625619177286,90.38461538461539,100.0,Per_Target
MultiTask_ElasticNet,Overall,2.7277600915771973,3.5897128034957437,0.2446741235312565,84.61538461538463,98.71794871794872,Overall
MultiTask_ElasticNet,Left_Vector,4.002499783512683,,0.6432330873753043,,,Vector
MultiTask_ElasticNet,Right_Vector,2.716166443420847,,0.34658643870306455,,,Vector
MultiTask_ElasticNet,kidney_left_delta_x,3.845963168911197,4.667673722463573,0.35938257529948536,69.23076923076923,98.07692307692307,Per_Target
MultiTask_ElasticNet,kidney_left_delta_y,2.356984910928504,3.1546916648622005,0.19961317384006616,92.3076923076923,98.07692307692307,Per_Target
MultiTask_ElasticNet,kidney_left_delta_z,2.416883937056824,3.0522055451325567,0.09041230492740104,88.46153846153845,100.0,Per_Target
MultiTask_ElasticNet,kidney_right_delta_x,3.764466549109586,5.48507011937609,0.32056934478712884,71.15384615384616,96.15384615384616,Per_Target
MultiTask_ElasticNet,kidney_right_delta_y,1.970854048088952,2.6173314909315915,0.2712619054999855,94.23076923076923,100.0,Per_Target
MultiTask_ElasticNet,kidney_right_delta_z,2.011407935368122,2.5613042782084543,0.22680543683347199,92.3076923076923,100.0,Per_Target
PLS_Regression,Overall,2.856058043685722,3.7500008009061077,0.18478879976677912,84.93589743589745,98.3974358974359,Overall
PLS_Regression,Left_Vector,4.0744156657231265,,0.567233442996525,,,Vector
PLS_Regression,Right_Vector,2.731405390665867,,0.2925915816984762,,,Vector
PLS_Regression,kidney_left_delta_x,3.964573509474564,4.892142597404352,0.2962863405185372,73.07692307692307,96.15384615384616,Per_Target
PLS_Regression,kidney_left_delta_y,2.3972178877235155,3.222788371099479,0.1646861718431718,90.38461538461539,98.07692307692307,Per_Target
PLS_Regression,kidney_left_delta_z,2.476697747193597,3.093251140779577,0.06578381711369063,88.46153846153845,100.0,Per_Target
PLS_Regression,kidney_right_delta_x,4.123747526400687,5.887652401660412,0.21717426541961704,71.15384615384616,96.15384615384616,Per_Target
PLS_Regression,kidney_right_delta_y,2.0539151604164356,2.7399293947672567,0.2013936576146893,94.23076923076923,100.0,Per_Target
PLS_Regression,kidney_right_delta_z,2.120196430905531,2.6642408997255704,0.1634085460909689,92.3076923076923,100.0,Per_Target
